ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1171234168,2026-01-26T17:15:33.854000,2026-01-26T17:16:02.442000,sell,0.05,0.05,XAUUSDm,5094.411,5093.25,,,0,0,5.81,,,user
1171233930,2026-01-26T17:15:26.328000,2026-01-26T17:16:02.441000,sell,0.05,0.05,XAUUSDm,5094.057,5093.25,,,0,0,4.04,,,user
1171233894,2026-01-26T17:15:24.359000,2026-01-26T17:16:02.430000,sell,0.05,0.05,XAUUSDm,5094.13,5093.25,,,0,0,4.4,,,user
1171233746,2026-01-26T17:15:19.848000,2026-01-26T17:16:02.429000,sell,0.05,0.05,XAUUSDm,5094.188,5093.25,,,0,0,4.69,,,user
1171231996,2026-01-26T17:14:22.966000,2026-01-26T17:15:13.222000,buy,0.05,0.05,XAUUSDm,5094.934,5094.3,,,0,0,-3.17,,,user
1171218933,2026-01-26T17:09:43.714000,2026-01-26T17:11:02.729000,buy,0.05,0.05,XAUUSDm,5091.261,5088.095,,,0,0,-15.83,,,user
1171211406,2026-01-26T17:06:37.299000,2026-01-26T17:08:04.419000,sell,0.1,0.1,XAUUSDm,5096.885,5093.526,5099,,0,0,33.59,,,user
1171210843,2026-01-26T17:06:25.313000,2026-01-26T17:08:04.418000,sell,0.1,0.1,XAUUSDm,5095.593,5093.526,5099,,0,0,20.67,,,user
1171199746,2026-01-26T17:01:44.187000,2026-01-26T17:05:19.211000,sell,0.1,0.1,XAUUSDm,5091.791,5097.35,5097.35,,0,0,-55.59,,,sl
1171187401,2026-01-26T16:56:40.407000,2026-01-26T16:58:09.017000,sell,0.1,0.1,XAUUSDm,5088.441,5094,5094,,0,0,-55.59,,,sl
1171183094,2026-01-26T16:55:09.793000,2026-01-26T16:55:57.489000,sell,0.5,0.5,XAUUSDm,5087.943,5087.506,5092,,0,0,21.85,,,user
1171177747,2026-01-26T16:53:04.546000,2026-01-26T16:53:35.514000,sell,0.5,0.5,XAUUSDm,5084.393,5085.859,5087,,0,0,-73.3,,,user
1171152350,2026-01-26T16:44:03.943000,2026-01-26T16:49:00.597000,sell,0.05,0.05,XAUUSDm,5079.423,5086.091,5086.091,,0,0,-33.34,,,sl
1171161984,2026-01-26T16:47:10.465000,2026-01-26T16:48:59.973000,sell,0.1,0.1,XAUUSDm,5081.792,5085.126,5085.126,,0,0,-33.34,,,sl
1171080699,2026-01-26T16:28:16.944000,2026-01-26T16:41:51.723000,buy,0.05,0.05,XAUUSDm,5084.244,5078.407,5065,5082,0,0,-29.18,,,user
1171095613,2026-01-26T16:32:21.366000,2026-01-26T16:41:51.723000,buy,0.05,0.05,XAUUSDm,5071.669,5078.407,5065,5082,0,0,33.69,,,user
1171061156,2026-01-26T16:23:08.243000,2026-01-26T16:27:51.670000,buy,0.05,0.05,XAUUSDm,5095.98,5087.521,5088,,0,0,-42.29,,,sl
